Maskapai,Tanggal,Waktu Berangkat,Waktu Datang,Durasi,Transit,Harga Tiket
China Eastern,2025-12-01,11:45 PM,12:00 PM +1 (2025-12-02),10 hr 15 min,1 stop,"IDR 3,558,000"
SriLankan,2025-12-01,2:25 PM,8:10 AM +1 (2025-12-02),15 hr 45 min,1 stop,"IDR 3,680,200"
China Airlines,2025-12-01,1:30 AM,1:30 PM (2025-12-01),10 hr,1 stop,"IDR 4,951,800"
"Indonesia AirAsia, Thai AirAsia X",2025-12-01,2:35 PM,10:45 AM +1 (2025-12-02),18 hr 10 min,1 stop,"IDR 3,193,900"
"Indonesia AirAsia, Thai AirAsia X",2025-12-01,4:45 PM,10:45 AM +1 (2025-12-02),16 hr,1 stop,"IDR 3,193,900"
EVA Air,2025-12-01,2:35 PM,7:20 PM +1 (2025-12-02),26 hr 45 min,1 stop,"IDR 3,471,400"
EVA Air,2025-12-01,2:35 PM,8:20 PM +1 (2025-12-02),27 hr 45 min,1 stop,"IDR 3,471,400"
China Eastern,2025-12-01,11:45 PM,12:50 PM +1 (2025-12-02),11 hr 5 min,1 stop,"IDR 3,558,000"
"China Eastern, Shanghai Airlines",2025-12-01,11:45 PM,3:50 PM +1 (2025-12-02),14 hr 5 min,1 stop,"IDR 3,558,000"
China Eastern,2025-12-01,11:45 PM,3:55 PM +1 (2025-12-02),14 hr 10 min,1 stop,"IDR 3,558,000"
China Eastern,2025-12-01,11:45 PM,6:30 PM +1 (2025-12-02),16 hr 45 min,1 stop,"IDR 3,558,000"
China Eastern,2025-12-01,11:45 PM,8:55 PM +1 (2025-12-02),19 hr 10 min,1 stop,"IDR 3,558,000"
XiamenAir,2025-12-01,1:35 PM,1:45 PM +1 (2025-12-02),22 hr 10 min,1 stop,"IDR 3,563,600"
Vietjet,2025-12-01,2:00 PM,8:00 AM +1 (2025-12-02),16 hr,1 stop,"IDR 3,597,984"
Vietjet,2025-12-01,2:00 PM,3:25 PM +1 (2025-12-02),23 hr 25 min,1 stop,"IDR 3,597,984"
Thai Lion Air,2025-12-01,8:10 PM,4:15 PM +1 (2025-12-02),18 hr 5 min,2 stops,"IDR 3,738,600"
Batik Air,2025-12-01,8:40 PM,7:50 PM +1 (2025-12-02),21 hr 10 min,1 stop,"IDR 3,899,900"
Batik Air,2025-12-01,12:30 PM,7:50 PM +1 (2025-12-02),29 hr 20 min,1 stop,"IDR 3,983,000"
Batik Air,2025-12-01,4:30 PM,7:50 PM +1 (2025-12-02),25 hr 20 min,1 stop,"IDR 3,983,000"
Batik Air,2025-12-01,4:45 PM,7:50 PM +1 (2025-12-02),25 hr 5 min,1 stop,"IDR 3,983,000"
Batik Air,2025-12-01,8:10 PM,7:50 PM +1 (2025-12-02),21 hr 40 min,1 stop,"IDR 3,983,000"
XiamenAir,2025-12-01,7:05 AM,1:40 PM +1 (2025-12-02),28 hr 35 min,1 stop,"IDR 4,114,600"
Scoot,2025-12-01,10:10 PM,7:10 AM +2 (2025-12-03),31 hr,1 stop,"IDR 4,307,998"
Thai Lion Air,2025-12-01,8:10 PM,4:15 PM +1 (2025-12-02),18 hr 5 min,2 stops,"IDR 4,521,700"
XiamenAir,2025-12-01,11:30 PM,1:45 PM +1 (2025-12-02),12 hr 15 min,1 stop,"IDR 4,575,600"
"Indonesia AirAsia, AirAsia X",2025-12-01,5:05 AM,10:40 PM (2025-12-01),15 hr 35 min,1 stop,"IDR 4,629,302"
"Indonesia AirAsia, AirAsia X",2025-12-01,6:35 AM,10:40 PM (2025-12-01),14 hr 5 min,1 stop,"IDR 4,629,302"
"AirAsia, AirAsia X",2025-12-01,8:30 AM,10:40 PM (2025-12-01),12 hr 10 min,1 stop,"IDR 4,629,302"
"Indonesia AirAsia, AirAsia X",2025-12-01,10:15 AM,10:40 PM (2025-12-01),10 hr 25 min,1 stop,"IDR 4,629,302"
"AirAsia, AirAsia X",2025-12-01,9:15 PM,10:40 PM +1 (2025-12-02),23 hr 25 min,1 stop,"IDR 4,701,302"
Vietjet,2025-12-01,1:30 PM,7:35 AM +1 (2025-12-02),16 hr 5 min,1 stop,"IDR 4,811,821"
Scoot,2025-12-01,9:35 AM,7:10 AM +1 (2025-12-02),19 hr 35 min,1 stop,"IDR 4,907,998"
China Airlines,2025-12-01,1:30 AM,4:35 PM (2025-12-01),13 hr 5 min,1 stop,"IDR 4,951,800"
China Airlines,2025-12-01,1:30 AM,6:30 PM (2025-12-01),15 hr,1 stop,"IDR 4,951,800"
China Airlines,2025-12-01,1:30 AM,8:30 PM (2025-12-01),17 hr,1 stop,"IDR 4,951,800"
China Airlines,2025-12-01,2:40 PM,1:30 PM +1 (2025-12-02),20 hr 50 min,1 stop,"IDR 4,951,800"
China Airlines,2025-12-01,2:40 PM,4:35 PM +1 (2025-12-02),23 hr 55 min,1 stop,"IDR 4,951,800"
China Airlines,2025-12-01,2:40 PM,6:30 PM +1 (2025-12-02),25 hr 50 min,1 stop,"IDR 4,951,800"
China Airlines,2025-12-01,2:40 PM,8:30 PM +1 (2025-12-02),27 hr 50 min,1 stop,"IDR 4,951,800"
Scoot,2025-12-01,9:35 AM,10:40 AM +1 (2025-12-02),23 hr 5 min,2 stops,"IDR 5,182,352"
Scoot,2025-12-01,9:35 AM,6:00 PM +1 (2025-12-02),30 hr 25 min,2 stops,"IDR 5,182,352"
Scoot,2025-12-01,8:10 PM,6:00 PM +1 (2025-12-02),19 hr 50 min,2 stops,"IDR 5,182,352"
Scoot,2025-12-01,10:10 PM,6:00 PM +1 (2025-12-02),17 hr 50 min,2 stops,"IDR 5,182,352"
Scoot,2025-12-01,11:20 AM,7:10 AM +1 (2025-12-02),17 hr 50 min,1 stop,"IDR 5,557,998"
"Indonesia AirAsia, Thai AirAsia X",2025-12-01,2:35 PM,8:00 AM +1 (2025-12-02),15 hr 25 min,1 stop,"IDR 5,668,121"
"Indonesia AirAsia, Thai AirAsia X",2025-12-01,4:45 PM,8:00 AM +1 (2025-12-02),13 hr 15 min,1 stop,"IDR 5,668,121"
Scoot,2025-12-01,11:20 AM,10:40 AM +1 (2025-12-02),21 hr 20 min,2 stops,"IDR 5,832,352"
Scoot,2025-12-01,11:20 AM,6:00 PM +1 (2025-12-02),28 hr 40 min,2 stops,"IDR 5,832,352"
Scoot,2025-12-01,8:10 PM,10:40 AM +1 (2025-12-02),12 hr 30 min,2 stops,"IDR 5,832,352"
Philippine Airlines + ANA,2025-12-01,1:20 AM,12:55 PM (2025-12-01),9 hr 35 min,1 stop,"IDR 5,950,000"
Philippine Airlines + ANA,2025-12-01,1:20 AM,2:10 PM (2025-12-01),10 hr 50 min,1 stop,"IDR 5,950,000"
Philippine Airlines + ANA,2025-12-01,1:20 AM,8:10 PM (2025-12-01),16 hr 50 min,1 stop,"IDR 5,950,000"
Philippine Airlines + ANA,2025-12-01,1:20 AM,12:20 AM +1 (2025-12-02),21 hr,1 stop,"IDR 5,950,000"
THAI,2025-12-01,1:05 PM,6:20 AM +1 (2025-12-02),15 hr 15 min,1 stop,"IDR 5,979,300"
THAI,2025-12-01,1:05 PM,6:55 AM +1 (2025-12-02),15 hr 50 min,1 stop,"IDR 5,979,300"
THAI,2025-12-01,1:05 PM,7:40 AM +1 (2025-12-02),16 hr 35 min,1 stop,"IDR 5,979,300"
THAI,2025-12-01,7:05 PM,7:40 AM +1 (2025-12-02),10 hr 35 min,1 stop,"IDR 5,979,300"
THAI,2025-12-01,7:05 PM,3:50 PM +1 (2025-12-02),18 hr 45 min,1 stop,"IDR 5,979,300"
Cebu Pacific,2025-12-01,11:25 PM,6:00 PM +1 (2025-12-02),16 hr 35 min,1 stop,"IDR 5,987,451"
THAI,2025-12-01,1:05 PM,3:50 PM +1 (2025-12-02),24 hr 45 min,1 stop,"IDR 6,371,400"
THAI,2025-12-01,7:05 PM,10:30 PM +1 (2025-12-02),25 hr 25 min,1 stop,"IDR 6,371,400"
ANA,2025-12-01,6:20 AM,3:40 PM (2025-12-01),7 hr 20 min,Nonstop,"IDR 6,422,900"
"Indonesia AirAsia, Thai AirAsia",2025-12-01,4:45 PM,12:30 PM +1 (2025-12-02),17 hr 45 min,2 stops,"IDR 6,433,237"
China Southern,2025-12-01,1:15 PM,1:20 PM +1 (2025-12-02),22 hr 5 min,1 stop,"IDR 6,440,900"
China Southern,2025-12-01,1:15 PM,8:00 PM +1 (2025-12-02),28 hr 45 min,1 stop,"IDR 6,440,900"
Scoot,2025-12-01,10:10 PM,10:40 AM +2 (2025-12-03),34 hr 30 min,2 stops,"IDR 6,532,352"
"Shandong, XiamenAir",2025-12-01,12:25 AM,1:45 PM (2025-12-01),11 hr 20 min,1 stop,"IDR 6,767,700"
Korean Air,2025-12-01,9:50 PM,12:25 PM +1 (2025-12-02),12 hr 35 min,1 stop,"IDR 6,824,900"
Korean Air,2025-12-01,9:50 PM,3:55 PM +1 (2025-12-02),16 hr 5 min,1 stop,"IDR 6,824,900"
Korean Air,2025-12-01,9:50 PM,7:30 PM +1 (2025-12-02),19 hr 40 min,1 stop,"IDR 6,824,900"
Korean Air,2025-12-01,9:50 PM,9:05 PM +1 (2025-12-02),21 hr 15 min,1 stop,"IDR 6,824,900"
Korean Air,2025-12-01,9:50 PM,10:50 PM +1 (2025-12-02),23 hr,1 stop,"IDR 6,824,900"
Asiana Airlines + ANA,2025-12-01,10:30 PM,11:20 AM +1 (2025-12-02),10 hr 50 min,1 stop,"IDR 6,824,900"
"Asiana Airlines, Korean Air",2025-12-01,10:30 PM,3:55 PM +1 (2025-12-02),15 hr 25 min,1 stop,"IDR 6,824,900"
Asiana Airlines,2025-12-01,10:30 PM,5:55 PM +1 (2025-12-02),17 hr 25 min,1 stop,"IDR 6,824,900"
"Asiana Airlines, Korean Air",2025-12-01,10:30 PM,7:30 PM +1 (2025-12-02),19 hr,1 stop,"IDR 6,824,900"
Asiana Airlines,2025-12-01,10:30 PM,9:00 PM +1 (2025-12-02),20 hr 30 min,1 stop,"IDR 6,824,900"
"Asiana Airlines, Korean Air",2025-12-01,10:30 PM,9:05 PM +1 (2025-12-02),20 hr 35 min,1 stop,"IDR 6,824,900"
"Asiana Airlines, Korean Air",2025-12-01,10:30 PM,10:50 PM +1 (2025-12-02),22 hr 20 min,1 stop,"IDR 6,824,900"
"Garuda Indonesia, Korean Air",2025-12-01,11:30 PM,9:05 PM +1 (2025-12-02),19 hr 35 min,1 stop,"IDR 6,824,900"
"Garuda Indonesia, Korean Air",2025-12-01,11:30 PM,10:50 PM +1 (2025-12-02),21 hr 20 min,1 stop,"IDR 6,824,900"
Korean Air,2025-12-01,9:50 PM,6:35 PM +1 (2025-12-02),18 hr 45 min,1 stop,"IDR 6,990,600"
Korean Air,2025-12-01,9:50 PM,9:35 PM +1 (2025-12-02),21 hr 45 min,1 stop,"IDR 6,990,600"
"Asiana Airlines, Korean Air",2025-12-01,10:30 PM,6:35 PM +1 (2025-12-02),18 hr 5 min,1 stop,"IDR 6,990,600"
"Asiana Airlines, Korean Air",2025-12-01,10:30 PM,9:35 PM +1 (2025-12-02),21 hr 5 min,1 stop,"IDR 6,990,600"
"Garuda Indonesia, Korean Air",2025-12-01,11:30 PM,6:35 PM +1 (2025-12-02),17 hr 5 min,1 stop,"IDR 6,990,600"
"Garuda Indonesia, Korean Air",2025-12-01,11:30 PM,9:35 PM +1 (2025-12-02),20 hr 5 min,1 stop,"IDR 6,990,600"
China Southern,2025-12-01,9:05 AM,1:20 PM +1 (2025-12-02),26 hr 15 min,1 stop,"IDR 7,043,900"
China Southern,2025-12-01,1:15 PM,1:35 PM +1 (2025-12-02),22 hr 20 min,1 stop,"IDR 7,043,900"
