Maskapai,Tanggal,Waktu Berangkat,Waktu Datang,Durasi,Transit,Harga Tiket
Scoot,2025-11-01,8:10 PM,10:40 AM +1 (2025-11-02),12 hr 30 min,2 stops,"IDR 2,907,094"
SriLankan,2025-11-01,2:25 PM,8:10 AM +1 (2025-11-02),15 hr 45 min,1 stop,"IDR 3,680,200"
Batik Air,2025-11-01,5:15 AM,8:50 PM (2025-11-01),13 hr 35 min,1 stop,"IDR 3,698,900"
Scoot,2025-11-01,9:35 AM,10:40 AM +1 (2025-11-02),23 hr 5 min,2 stops,"IDR 2,907,094"
Scoot,2025-11-01,11:20 AM,10:40 AM +1 (2025-11-02),21 hr 20 min,2 stops,"IDR 2,907,094"
Scoot,2025-11-01,9:35 AM,7:10 AM +1 (2025-11-02),19 hr 35 min,1 stop,"IDR 3,117,998"
Scoot,2025-11-01,9:35 AM,6:00 PM +1 (2025-11-02),30 hr 25 min,2 stops,"IDR 3,117,998"
Scoot,2025-11-01,11:20 AM,7:10 AM +1 (2025-11-02),17 hr 50 min,1 stop,"IDR 3,117,998"
Scoot,2025-11-01,11:20 AM,6:00 PM +1 (2025-11-02),28 hr 40 min,2 stops,"IDR 3,117,998"
Scoot,2025-11-01,8:10 PM,6:00 PM +1 (2025-11-02),19 hr 50 min,2 stops,"IDR 3,117,998"
XiamenAir,2025-11-01,1:35 PM,1:45 PM +1 (2025-11-02),22 hr 10 min,1 stop,"IDR 3,563,600"
Vietjet,2025-11-01,1:30 PM,7:35 AM +1 (2025-11-02),16 hr 5 min,1 stop,"IDR 3,597,984"
Thai Lion Air,2025-11-01,8:10 PM,4:15 PM +1 (2025-11-02),18 hr 5 min,2 stops,"IDR 4,086,400"
Batik Air,2025-11-01,9:15 AM,8:25 AM +1 (2025-11-02),21 hr 10 min,1 stop,"IDR 4,087,900"
Batik Air,2025-11-01,4:30 PM,8:25 AM +1 (2025-11-02),13 hr 55 min,1 stop,"IDR 4,087,900"
Batik Air,2025-11-01,4:45 PM,8:25 AM +1 (2025-11-02),13 hr 40 min,1 stop,"IDR 4,087,900"
Batik Air,2025-11-01,5:15 AM,8:25 AM +1 (2025-11-02),25 hr 10 min,1 stop,"IDR 4,171,000"
Vietjet,2025-11-01,2:00 PM,8:00 AM +1 (2025-11-02),16 hr,1 stop,"IDR 4,195,468"
Vietjet,2025-11-01,2:00 PM,3:25 PM +1 (2025-11-02),23 hr 25 min,1 stop,"IDR 4,195,468"
Batik Air,2025-11-01,12:30 PM,8:25 AM +1 (2025-11-02),17 hr 55 min,1 stop,"IDR 4,287,900"
"Indonesia AirAsia, Thai AirAsia X",2025-11-01,4:45 PM,8:00 AM +1 (2025-11-02),13 hr 15 min,1 stop,"IDR 4,526,620"
"Indonesia AirAsia, Thai AirAsia X",2025-11-01,4:45 PM,10:45 AM +1 (2025-11-02),16 hr,1 stop,"IDR 4,526,620"
China Eastern,2025-11-01,11:45 PM,12:50 PM +1 (2025-11-02),11 hr 5 min,1 stop,"IDR 4,545,000"
China Eastern,2025-11-01,11:45 PM,3:55 PM +1 (2025-11-02),14 hr 10 min,1 stop,"IDR 4,545,000"
"Indonesia AirAsia, AirAsia X",2025-11-01,5:05 AM,10:40 PM (2025-11-01),15 hr 35 min,1 stop,"IDR 4,559,302"
"Indonesia AirAsia, AirAsia X",2025-11-01,6:35 AM,10:40 PM (2025-11-01),14 hr 5 min,1 stop,"IDR 4,559,302"
"AirAsia, AirAsia X",2025-11-01,8:30 AM,10:40 PM (2025-11-01),12 hr 10 min,1 stop,"IDR 4,559,302"
XiamenAir,2025-11-01,11:30 PM,1:45 PM +1 (2025-11-02),12 hr 15 min,1 stop,"IDR 4,575,600"
"Indonesia AirAsia, AirAsia X",2025-11-01,10:15 AM,10:40 PM (2025-11-01),10 hr 25 min,1 stop,"IDR 4,659,302"
Royal Brunei,2025-11-01,6:15 AM,7:30 AM +1 (2025-11-02),23 hr 15 min,1 stop,"IDR 4,800,400"
Thai Lion Air,2025-11-01,8:10 PM,4:15 PM +1 (2025-11-02),18 hr 5 min,2 stops,"IDR 4,842,100"
China Airlines,2025-11-01,2:40 PM,1:30 PM +1 (2025-11-02),20 hr 50 min,1 stop,"IDR 4,951,800"
China Airlines,2025-11-01,2:40 PM,4:35 PM +1 (2025-11-02),23 hr 55 min,1 stop,"IDR 4,951,800"
China Airlines,2025-11-01,2:40 PM,8:30 PM +1 (2025-11-02),27 hr 50 min,1 stop,"IDR 4,951,800"
Batik Air,2025-11-01,2:00 PM,8:25 AM +1 (2025-11-02),16 hr 25 min,2 stops,"IDR 5,020,550"
"AirAsia, AirAsia X",2025-11-01,9:15 PM,10:40 PM +1 (2025-11-02),23 hr 25 min,1 stop,"IDR 5,027,684"
Batik Air,2025-11-01,10:00 AM,8:25 AM +1 (2025-11-02),20 hr 25 min,2 stops,"IDR 5,263,550"
Batik Air,2025-11-01,10:00 AM,8:25 AM +1 (2025-11-02),20 hr 25 min,2 stops,"IDR 5,263,550"
XiamenAir,2025-11-01,7:05 AM,1:40 PM +1 (2025-11-02),28 hr 35 min,1 stop,"IDR 5,473,600"
China Eastern,2025-11-01,11:45 PM,8:55 PM +1 (2025-11-02),19 hr 10 min,1 stop,"IDR 5,673,000"
Philippine Airlines + ANA,2025-11-01,1:20 AM,12:55 PM (2025-11-01),9 hr 35 min,1 stop,"IDR 5,950,000"
Philippine Airlines + ANA,2025-11-01,1:20 AM,2:10 PM (2025-11-01),10 hr 50 min,1 stop,"IDR 5,950,000"
Philippine Airlines + ANA,2025-11-01,1:20 AM,8:10 PM (2025-11-01),16 hr 50 min,1 stop,"IDR 5,950,000"
Philippine Airlines + ANA,2025-11-01,1:20 AM,12:20 AM +1 (2025-11-02),21 hr,1 stop,"IDR 5,950,000"
THAI,2025-11-01,7:05 PM,7:40 AM +1 (2025-11-02),10 hr 35 min,1 stop,"IDR 5,979,300"
THAI,2025-11-01,7:05 PM,3:50 PM +1 (2025-11-02),18 hr 45 min,1 stop,"IDR 5,979,300"
THAI,2025-11-01,7:05 PM,10:30 PM +1 (2025-11-02),25 hr 25 min,1 stop,"IDR 6,371,400"
"Indonesia AirAsia, Thai AirAsia",2025-11-01,4:45 PM,12:30 PM +1 (2025-11-02),17 hr 45 min,2 stops,"IDR 6,623,237"
THAI,2025-11-01,1:05 PM,6:20 AM +1 (2025-11-02),15 hr 15 min,1 stop,"IDR 6,828,300"
THAI,2025-11-01,1:05 PM,7:40 AM +1 (2025-11-02),16 hr 35 min,1 stop,"IDR 6,828,300"
Singapore Airlines,2025-11-01,2:15 PM,7:30 AM +1 (2025-11-02),15 hr 15 min,1 stop,"IDR 6,866,200"
Singapore Airlines,2025-11-01,5:00 PM,7:30 AM +1 (2025-11-02),12 hr 30 min,1 stop,"IDR 6,866,200"
Singapore Airlines,2025-11-01,6:10 PM,7:30 AM +1 (2025-11-02),11 hr 20 min,1 stop,"IDR 6,866,200"
Singapore Airlines,2025-11-01,7:00 PM,7:30 AM +1 (2025-11-02),10 hr 30 min,1 stop,"IDR 6,866,200"
Singapore Airlines,2025-11-01,8:20 PM,7:30 AM +1 (2025-11-02),9 hr 10 min,1 stop,"IDR 6,866,200"
"China Eastern, Shanghai Airlines",2025-11-01,11:45 PM,3:50 PM +1 (2025-11-02),14 hr 5 min,1 stop,"IDR 6,895,000"
China Eastern,2025-11-01,11:45 PM,6:30 PM +1 (2025-11-02),16 hr 45 min,1 stop,"IDR 6,895,000"
Cebu Pacific,2025-11-01,11:25 PM,6:00 PM +1 (2025-11-02),16 hr 35 min,1 stop,"IDR 6,947,108"
EVA Air,2025-11-01,2:35 PM,7:20 PM +1 (2025-11-02),26 hr 45 min,1 stop,"IDR 7,125,400"
THAI,2025-11-01,1:05 PM,3:50 PM +1 (2025-11-02),24 hr 45 min,1 stop,"IDR 7,220,400"
THAI,2025-11-01,1:05 PM,6:55 AM +1 (2025-11-02),15 hr 50 min,1 stop,"IDR 7,479,300"
"Cathay Pacific, ANA + Operated by Air Japan",2025-11-01,12:15 AM,3:10 PM (2025-11-01),12 hr 55 min,1 stop,"IDR 7,526,000"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-11-01,11:30 AM,2:30 PM +1 (2025-11-02),25 hr,1 stop,"IDR 7,573,200"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-11-01,3:40 PM,2:30 PM +1 (2025-11-02),20 hr 50 min,1 stop,"IDR 7,573,200"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-11-01,5:35 PM,2:30 PM +1 (2025-11-02),18 hr 55 min,1 stop,"IDR 7,573,200"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-11-01,6:55 PM,2:30 PM +1 (2025-11-02),17 hr 35 min,1 stop,"IDR 7,573,200"
Asiana Airlines + ANA,2025-11-01,10:30 PM,11:20 AM +1 (2025-11-02),10 hr 50 min,1 stop,"IDR 7,810,900"
China Southern,2025-11-01,12:20 AM,3:00 PM (2025-11-01),12 hr 40 min,1 stop,"IDR 7,846,900"
China Southern,2025-11-01,1:15 PM,1:20 PM +1 (2025-11-02),22 hr 5 min,1 stop,"IDR 7,846,900"
China Southern,2025-11-01,1:15 PM,1:35 PM +1 (2025-11-02),22 hr 20 min,1 stop,"IDR 7,846,900"
China Southern,2025-11-01,1:15 PM,8:00 PM +1 (2025-11-02),28 hr 45 min,1 stop,"IDR 7,846,900"
"Shandong, XiamenAir",2025-11-01,12:25 AM,1:45 PM (2025-11-01),11 hr 20 min,1 stop,"IDR 7,941,700"
"EVA Air, ANA",2025-11-01,2:35 PM,12:50 PM +1 (2025-11-02),20 hr 15 min,2 stops,"IDR 8,025,300"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-11-01,11:50 PM,7:15 PM +1 (2025-11-02),17 hr 25 min,1 stop,"IDR 8,054,300"
"Philippine Airlines, ANA",2025-11-01,1:20 AM,3:05 PM (2025-11-01),11 hr 45 min,1 stop,"IDR 8,085,000"
"Philippine Airlines, ANA",2025-11-01,1:20 AM,8:00 PM (2025-11-01),16 hr 40 min,1 stop,"IDR 8,085,000"
Asiana Airlines,2025-11-01,10:30 PM,5:55 PM +1 (2025-11-02),17 hr 25 min,1 stop,"IDR 8,138,900"
Cathay Pacific,2025-11-01,12:15 AM,1:10 PM (2025-11-01),10 hr 55 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,12:15 AM,2:10 PM (2025-11-01),11 hr 55 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,12:15 AM,3:35 PM (2025-11-01),13 hr 20 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,12:15 AM,8:20 PM (2025-11-01),18 hr 5 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,12:15 AM,9:15 PM (2025-11-01),19 hr,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,8:10 AM,8:20 PM (2025-11-01),10 hr 10 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,8:10 AM,9:15 PM (2025-11-01),11 hr 5 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,8:10 AM,6:30 AM +1 (2025-11-02),20 hr 20 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,8:10 AM,1:45 PM +1 (2025-11-02),27 hr 35 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,2:30 PM,6:30 AM +1 (2025-11-02),14 hr,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,2:30 PM,1:10 PM +1 (2025-11-02),20 hr 40 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,2:30 PM,1:45 PM +1 (2025-11-02),21 hr 15 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,2:30 PM,8:20 PM +1 (2025-11-02),27 hr 50 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-11-01,2:30 PM,9:15 PM +1 (2025-11-02),28 hr 45 min,1 stop,"IDR 8,330,500"
"XiamenAir, Asiana Airlines",2025-11-01,11:30 PM,5:55 PM +1 (2025-11-02),16 hr 25 min,2 stops,"IDR 8,390,100"
Korean Air,2025-11-01,9:50 PM,12:25 PM +1 (2025-11-02),12 hr 35 min,1 stop,"IDR 8,524,900"
Korean Air,2025-11-01,9:50 PM,3:55 PM +1 (2025-11-02),16 hr 5 min,1 stop,"IDR 8,524,900"
