Maskapai,Tanggal,Waktu Berangkat,Waktu Datang,Durasi,Transit,Harga Tiket
Batik Air,2025-10-04,4:45 PM,8:25 AM +1 (2025-10-05),13 hr 40 min,1 stop,"IDR 4,087,900"
"Indonesia AirAsia, Thai AirAsia X",2025-10-04,8:00 PM,10:45 AM +1 (2025-10-05),12 hr 45 min,1 stop,"IDR 4,726,620"
Vietjet,2025-10-04,1:30 PM,7:55 AM +1 (2025-10-05),16 hr 25 min,1 stop,"IDR 4,811,821"
Batik Air,2025-10-04,4:30 PM,8:25 AM +1 (2025-10-05),13 hr 55 min,1 stop,"IDR 4,087,900"
Batik Air,2025-10-04,12:30 PM,8:25 AM +1 (2025-10-05),17 hr 55 min,1 stop,"IDR 4,287,900"
Vietjet,2025-10-04,1:30 PM,1:00 AM +2 (2025-10-06),33 hr 30 min,1 stop,"IDR 4,811,821"
China Airlines,2025-10-04,2:40 PM,1:15 PM +1 (2025-10-05),20 hr 35 min,1 stop,"IDR 4,951,800"
"Indonesia AirAsia, Thai AirAsia X",2025-10-04,4:35 PM,8:00 AM +1 (2025-10-05),13 hr 25 min,1 stop,"IDR 5,240,520"
"Indonesia AirAsia, Thai AirAsia X",2025-10-04,4:35 PM,10:45 AM +1 (2025-10-05),16 hr 10 min,1 stop,"IDR 5,240,520"
Batik Air,2025-10-04,12:30 PM,8:25 AM +1 (2025-10-05),17 hr 55 min,2 stops,"IDR 5,315,850"
Batik Air,2025-10-04,12:30 PM,8:25 AM +1 (2025-10-05),17 hr 55 min,2 stops,"IDR 5,315,850"
Batik Air,2025-10-04,5:50 PM,8:25 AM +1 (2025-10-05),12 hr 35 min,2 stops,"IDR 5,315,850"
Thai Lion Air,2025-10-04,8:30 PM,4:30 PM +1 (2025-10-05),18 hr,2 stops,"IDR 5,408,600"
"AirAsia, AirAsia X",2025-10-04,8:30 PM,10:35 PM +1 (2025-10-05),24 hr 5 min,1 stop,"IDR 5,444,789"
"AirAsia, AirAsia X",2025-10-04,9:15 PM,10:35 PM +1 (2025-10-05),23 hr 20 min,1 stop,"IDR 5,444,789"
Batik Air,2025-10-04,2:00 PM,8:25 AM +1 (2025-10-05),16 hr 25 min,2 stops,"IDR 5,621,550"
Thai Lion Air,2025-10-04,8:30 PM,4:30 PM +1 (2025-10-05),18 hr,2 stops,"IDR 6,751,700"
Vietjet,2025-10-04,2:00 PM,8:00 AM +1 (2025-10-05),16 hr,1 stop,"IDR 6,755,217"
Vietjet,2025-10-04,2:00 PM,3:30 PM +1 (2025-10-05),23 hr 30 min,1 stop,"IDR 6,755,217"
"Indonesia AirAsia, Thai AirAsia",2025-10-04,8:00 PM,12:55 PM +1 (2025-10-05),14 hr 55 min,2 stops,"IDR 6,823,237"
THAI + ANA,2025-10-04,12:35 PM,6:20 AM +1 (2025-10-05),15 hr 45 min,1 stop,"IDR 6,828,300"
THAI,2025-10-04,12:35 PM,8:10 AM +1 (2025-10-05),17 hr 35 min,1 stop,"IDR 6,828,300"
China Southern,2025-10-04,1:15 PM,2:20 PM +1 (2025-10-05),23 hr 5 min,1 stop,"IDR 7,043,900"
"Indonesia AirAsia, Thai AirAsia",2025-10-04,4:35 PM,12:55 PM +1 (2025-10-05),18 hr 20 min,2 stops,"IDR 7,337,137"
"Cathay Pacific, ANA + Operated by Air Japan",2025-10-04,2:20 PM,3:10 PM +1 (2025-10-05),22 hr 50 min,1 stop,"IDR 7,526,000"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-10-04,5:40 PM,2:30 PM +1 (2025-10-05),18 hr 50 min,1 stop,"IDR 7,573,200"
"Garuda Indonesia, ANA",2025-10-04,5:40 PM,7:15 PM +1 (2025-10-05),23 hr 35 min,1 stop,"IDR 7,573,200"
XiamenAir,2025-10-04,1:35 PM,1:45 PM +1 (2025-10-05),22 hr 10 min,1 stop,"IDR 7,672,600"
China Southern,2025-10-04,1:15 PM,7:45 PM +1 (2025-10-05),28 hr 30 min,1 stop,"IDR 7,846,900"
THAI,2025-10-04,12:35 PM,3:55 PM +1 (2025-10-05),25 hr 20 min,1 stop,"IDR 7,871,400"
"EVA Air, JAL",2025-10-04,2:30 PM,1:10 PM +1 (2025-10-05),20 hr 40 min,2 stops,"IDR 8,285,300"
Cathay Pacific + JAL,2025-10-04,2:20 PM,6:40 AM +1 (2025-10-05),14 hr 20 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-04,2:20 PM,1:40 PM +1 (2025-10-05),21 hr 20 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-04,2:20 PM,1:55 PM +1 (2025-10-05),21 hr 35 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-04,2:20 PM,2:30 PM +1 (2025-10-05),22 hr 10 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-04,2:20 PM,4:05 PM +1 (2025-10-05),23 hr 45 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-04,2:20 PM,8:30 PM +1 (2025-10-05),28 hr 10 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-04,2:20 PM,9:35 PM +1 (2025-10-05),29 hr 15 min,1 stop,"IDR 8,330,500"
EVA Air,2025-10-04,2:30 PM,11:35 AM +1 (2025-10-05),19 hr 5 min,1 stop,"IDR 8,356,400"
Scoot,2025-10-04,8:05 PM,11:10 AM +1 (2025-10-05),13 hr 5 min,2 stops,"IDR 8,357,610"
